level,parent_2d_code,parent_2d_label,code,label,jobs_2023,salary_mean_annual_gross_2018,contracts_2025,demandants_2025,unemployed_2025,ai_exposure,ai_confidence,source_url
2d,,,35,"Representantes, agentes comerciales y afines",554643,33389.09,,,,5.95,8.03,
2d,,,36,Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de seguridad,338239,28876.54,,,,7.84,8.91,
2d,,,37,"Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",374310,16189.89,,,,2.39,8.65,
2d,,,38,Técnicos de las tecnologías de la información y las comunicaciones (TIC),240847,28349.09,,,,6.75,8.49,
2d,,,41,"Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al transporte",404662,27066.55,,,,7.59,8.46,
2d,,,42,"Empleados de bibliotecas, servicios de correos y afines",75759,22338.31,,,,3.52,8.12,
2d,,,43,Otros empleados administrativos sin tareas de atención al público,612657,20194.82,,,,9.1,9.1,
2d,,,44,"Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y afines (excepto taquilleros)",287771,19080.11,,,,7.35,8.48,
2d,,,45,Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes,550220,19378.5,,,,8,9,
2d,,,50,Camareros y cocineros propietarios,288175,,,,,1,9,
2d,,,51,Trabajadores asalariados de los servicios de restauración,869975,13907.89,,,,1.16,9,
2d,,,52,Dependientes en tiendas y almacenes,976858,16668.61,,,,3.02,8.98,
2d,,,53,Comerciantes propietarios de tiendas,343407,,,,,4,8,
2d,,,54,Vendedores (excepto en tiendas y almacenes),164327,16391.48,,,,3.01,8.66,
2d,,,55,Cajeros y taquilleros (excepto bancos),116861,16784.98,,,,5,8,
2d,,,56,Trabajadores de los cuidados a las personas en servicios de salud,512777,18197.58,,,,1.22,9.41,
2d,,,57,Otros trabajadores de los cuidados a las personas,191803,9124.24,,,,1,9,
2d,,,58,Trabajadores de los servicios personales,422242,17640.66,,,,1.88,8.9,
2d,,,59,Trabajadores de los servicios de protección y seguridad,463767,28467.92,,,,2.13,8.92,
2d,,,61,Trabajadores cualificados en actividades agrícolas,260928,19311.92,,,,2,9,
2d,,,62,"Trabajadores cualificados en actividades ganaderas, (incluidas avícolas, apícolas y similares)",80731,,,,,2,9,
2d,,,63,Trabajadores cualificados en actividades agropecuarias mixtas,22749,,,,,2,9,
2d,,,64,"Trabajadores cualificados en actividades forestales, pesqueras y cinegéticas",37402,,,,,1.2,9.06,
2d,,,71,Trabajadores en obras estructurales de construcción y afines,603737,21087.17,,,,1.04,9.04,
2d,,,72,"Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y afines",231225,20141.43,,,,1,9.62,
2d,,,73,"Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de herramientas y afines",225019,25656.9,,,,1.24,9,
2d,,,74,Mecánicos y ajustadores de maquinaria,292556,26087.24,,,,1.93,9.02,
2d,,,75,Trabajadores especializados en electricidad y electrotecnología,277163,25074.09,,,,1.89,9.11,
2d,,,76,"Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes gráficas",66344,22249.26,,,,1.9,8.86,
2d,,,77,"Trabajadores de la industria de la alimentación, bebidas y tabaco",194663,21581.28,,,,1.07,9.32,
2d,,,78,"Trabajadores de la madera, textil, confección, piel, cuero, calzado y otros operarios en oficios",140020,17961.77,,,,1.05,9.04,
2d,,,81,Operadores de instalaciones y maquinaria fijas,286699,26032.43,,,,1.78,8.86,
2d,,,82,Montadores y ensambladores en fábricas,63005,26203.33,,,,2,9,
2d,,,83,"Maquinistas de locomotoras, operadores de maquinaria agrícola y de equipos pesados móviles, y marineros",128680,27093.21,,,,1.95,8.77,
2d,,,84,Conductores de vehículos para el transporte urbano o por carretera,714511,20133.15,,,,2.05,8.58,
2d,,,91,Empleados domésticos,331053,,,,,0,10,
2d,,,92,Otro personal de limpieza,700640,12041.78,,,,1,10,
2d,,,93,Ayudantes de preparación de alimentos,118024,12690.05,,,,1.07,9.93,
2d,,,94,"Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en servicios",179236,19464.49,,,,0.99,9.24,
2d,,,95,"Peones agrarios, forestales y de la pesca",413799,16104.02,,,,0.23,9.99,
2d,,,96,Peones de la construcción y de la minería,108168,18420.68,,,,0.38,10,
2d,,,97,Peones de las industrias manufactureras,391936,19507.51,,,,1,9,
2d,,,98,"Peones del transporte, descargadores y reponedores",254824,17024.17,,,,1,9,
4d,00,Ocupaciones militares,0011,Oficiales de las fuerzas armadas,,,201,327,141,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_0011-Oficiales-de-las-fuerzas-armadas~.html
4d,00,Ocupaciones militares,0012,Suboficiales de las fuerzas armadas,,,5,49,25,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_0012-Suboficiales-de-las-fuerzas-armadas~.html
4d,00,Ocupaciones militares,0020,Tropa y marinería de las fuerzas armadas,,,32,1656,1112,1,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_0020-Tropa-y-mariner-a-de-las-fuerzas-armadas~.html
4d,11,Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos,1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo",,,76,94,59,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1111-Miembros-del-poder-ejecutivo--nacional--auton-mico-y-local--y-del-poder-legislativo~.html
4d,11,Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos,1112,Personal directivo de la administración pública,,,333,320,164,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1112-Personal-directivo-de-la-administraci-n-p-blica~.html
4d,11,Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos,1113,Directores de organizaciones de interés social,,,430,281,155,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1113-Directores-de-organizaciones-de-inter-s-social~.html
4d,11,Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la Administración Pública y organizaciones de interés social; directores ejecutivos,1120,Directores generales y presidentes ejecutivos,,,2321,1496,986,5,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1120-Directores-generales-y-presidentes-ejecutivos~.html
4d,12,Directores de departamentos administrativos y comerciales,1211,Directores financieros,,,3839,2417,1496,7,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1211-Directores-financieros~.html
4d,12,Directores de departamentos administrativos y comerciales,1212,Directores de recursos humanos,,,1994,1126,742,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1212-Directores-de-recursos-humanos~.html
4d,12,Directores de departamentos administrativos y comerciales,1219,Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes,,,4985,1406,951,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1219-Directores-de-pol-ticas-y-planificaci-n-y-de-otros-departamentos-administrativos-no-clasificados-bajo-otros-ep-grafes~.html
4d,12,Directores de departamentos administrativos y comerciales,1221,Directores comerciales y de ventas,,,10026,10916,7827,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1221-Directores-comerciales-y-de-ventas~.html
4d,12,Directores de departamentos administrativos y comerciales,1222,Directores de publicidad y relaciones públicas,,,1640,775,551,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1222-Directores-de-publicidad-y-relaciones-p-blicas~.html
4d,12,Directores de departamentos administrativos y comerciales,1223,Directores de investigación y desarrollo,,,2592,990,684,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1223-Directores-de-investigaci-n-y-desarrollo~.html
4d,13,Directores de producción y operaciones,1311,Directores de producción de explotaciones agropecuarias y forestales,,,226,179,95,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1311-Directores-de-producci-n-de-explotaciones-agropecuarias-y-forestales~.html
4d,13,Directores de producción y operaciones,1312,Directores de producción de explotaciones pesqueras y acuícolas,,,28,53,35,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1312-Directores-de-producci-n-de-explotaciones-pesqueras-y-acu-colas~.html
4d,13,Directores de producción y operaciones,1313,Directores de industrias manufactureras,,,1129,1204,761,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1313-Directores-de-industrias-manufactureras~.html
4d,13,Directores de producción y operaciones,1314,Directores de explotaciones mineras,,,17,4,3,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1314-Directores-de-explotaciones-mineras~.html
4d,13,Directores de producción y operaciones,1315,"Directores de empresas de abastecimiento, transporte, distribución y afines",,,1883,2571,1710,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1315-Directores-de-empresas-de-abastecimiento--transporte--distribuci-n-y-afines~.html
4d,13,Directores de producción y operaciones,1316,Directores de empresas de construcción,,,411,650,445,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1316-Directores-de-empresas-de-construcci-n~.html
4d,13,Directores de producción y operaciones,1321,Directores de servicios de tecnologías de la información y las comunicaciones (tic),,,2256,1019,718,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1321-Directores-de-servicios-de-tecnolog-as-de-la-informaci-n-y-las-comunicaciones--tic-~.html
4d,13,Directores de producción y operaciones,1322,Directores de servicios sociales para niños,,,82,17,9,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1322-Directores-de-servicios-sociales-para-ni-os~.html
4d,13,Directores de producción y operaciones,1323,Directores-gerentes de centros sanitarios,,,958,311,213,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1323-Directores-gerentes-de-centros-sanitarios~.html
4d,13,Directores de producción y operaciones,1324,Directores de servicios sociales para personas mayores,,,557,98,56,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1324-Directores-de-servicios-sociales-para-personas-mayores~.html
4d,13,Directores de producción y operaciones,1325,Directores de otros servicios sociales,,,332,86,51,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1325-Directores-de-otros-servicios-sociales~.html
4d,13,Directores de producción y operaciones,1326,Directores de servicios de educación,,,1062,400,202,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1326-Directores-de-servicios-de-educaci-n~.html
4d,13,Directores de producción y operaciones,1327,"Directores de sucursales de bancos, de servicios financieros y de seguros",,,216,2043,661,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1327-Directores-de-sucursales-de-bancos--de-servicios-financieros-y-de-seguros~.html
4d,13,Directores de producción y operaciones,1329,Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes,,,2205,196,118,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1329-Directores-de-otras-empresas-de-servicios-profesionales-no-clasificados-bajo-otros-ep-grafes~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1411,Directores y gerentes de hoteles,,,1523,1051,506,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1411-Directores-y-gerentes-de-hoteles~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1419,Directores y gerentes de otras empresas de servicios de alojamiento,,,442,97,49,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1419-Directores-y-gerentes-de-otras-empresas-de-servicios-de-alojamiento~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1421,Directores y gerentes de restaurantes,,,2253,1489,927,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1421-Directores-y-gerentes-de-restaurantes~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1422,"Directores y gerentes de bares, cafeterías y similares",,,914,734,419,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1422-Directores-y-gerentes-de-bares--cafeter-as-y-similares~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1429,Directores y gerentes de empresas de catering y otras empresas de restauración,,,394,171,111,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1429-Directores-y-gerentes-de-empresas-de-catering-y-otras-empresas-de-restauraci-n~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1431,Directores y gerentes de empresas de comercio al por mayor,,,515,752,525,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1431-Directores-y-gerentes-de-empresas-de-comercio-al-por-mayor~.html
4d,14,"Directores y gerentes de empresas de alojamiento, restauración y comercio",1432,Directores y gerentes de empresas de comercio al por menor,,,699,1368,929,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1432-Directores-y-gerentes-de-empresas-de-comercio-al-por-menor~.html
4d,15,Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes,1501,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas",,,1581,844,458,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1501-Directores-y-gerentes-de-empresas-de-actividades-recreativas--culturales-y-deportivas~.html
4d,15,Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes,1509,Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes,,,1381,1541,987,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_1509-Directores-y-gerentes-de-empresas-de-gesti-n-de-residuos-y-de-otras-empresas-de-servicios-no-clasificados-bajo-otros-ep-grafes~.html
4d,21,Profesionales de la salud,2111,Médicos de familia,,,18355,2237,1199,4,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2111-M-dicos-de-familia~.html
4d,21,Profesionales de la salud,2112,Otros médicos especialistas,,,35088,1001,597,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2112-Otros-m-dicos-especialistas~.html
4d,21,Profesionales de la salud,2121,Enfermeros no especializados,,,101672,6811,3524,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2121-Enfermeros-no-especializados~.html
4d,21,Profesionales de la salud,2122,Enfermeros especializados (excepto matronos),,,26867,821,401,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2122-Enfermeros-especializados--excepto-matronos-~.html
4d,21,Profesionales de la salud,2123,Matronos,,,3686,191,85,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2123-Matronos~.html
4d,21,Profesionales de la salud,2130,Veterinarios,,,5652,1994,1308,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2130-Veterinarios~.html
4d,21,Profesionales de la salud,2140,Farmacéuticos,,,14283,3521,2372,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2140-Farmac-uticos~.html
4d,21,Profesionales de la salud,2151,Odontólogos y estomatólogos,,,4804,467,271,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2151-Odont-logos-y-estomat-logos~.html
4d,21,Profesionales de la salud,2152,Fisioterapeutas,,,25021,3094,1613,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2152-Fisioterapeutas~.html
4d,21,Profesionales de la salud,2153,Dietistas y nutricionistas,,,3114,1514,853,6,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2153-Dietistas-y-nutricionistas~.html
4d,21,Profesionales de la salud,2154,Logopedas,,,3510,753,370,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2154-Logopedas~.html
4d,21,Profesionales de la salud,2155,Ópticos-optometristas,,,3155,792,585,4,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2155--pticos-optometristas~.html
4d,21,Profesionales de la salud,2156,Terapeutas ocupacionales,,,6620,1139,506,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2156-Terapeutas-ocupacionales~.html
4d,21,Profesionales de la salud,2157,Podólogos,,,607,186,109,1,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2157-Pod-logos~.html
4d,21,Profesionales de la salud,2158,Profesionales de la salud y la higiene laboral y ambiental,,,2036,191,90,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2158-Profesionales-de-la-salud-y-la-higiene-laboral-y-ambiental~.html
4d,21,Profesionales de la salud,2159,Profesionales de la salud no clasificados bajo otros epígrafes,,,7685,672,292,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2159-Profesionales-de-la-salud-no-clasificados-bajo-otros-ep-grafes~.html
4d,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",2210,Profesores de universidades y otra enseñanza superior (excepto formación profesional),,,41289,1868,1009,6,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2210-Profesores-de-universidades-y-otra-ense-anza-superior--excepto-formaci-n-profesional-~.html
4d,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",2220,Profesores de formación profesional (materias específicas),,,16510,3529,1634,5,7,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2220-Profesores-de-formaci-n-profesional--materias-espec-ficas-~.html
4d,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",2230,Profesores de enseñanza secundaria (excepto materias específicas de formación profesional),,,28331,13284,6774,5,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2230-Profesores-de-ense-anza-secundaria--excepto-materias-espec-ficas-de-formaci-n-profesional-~.html
4d,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",2240,Profesores de enseñanza primaria,,,36308,18556,8875,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2240-Profesores-de-ense-anza-primaria~.html
4d,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",2251,Maestros de educación infantil,,,15045,12621,6201,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2251-Maestros-de-educaci-n-infantil~.html
4d,22,"Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",2252,Técnicos en educación infantil,,,45395,14105,6764,2,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2252-T-cnicos-en-educaci-n-infantil~.html
4d,23,Otros profesionales de la enseñanza,2311,Profesores de educación especial,,,3693,2562,1267,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2311-Profesores-de-educaci-n-especial~.html
4d,23,Otros profesionales de la enseñanza,2312,Técnicos educadores de educación especial,,,20419,914,387,3,9,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2312-T-cnicos-educadores-de-educaci-n-especial~.html
4d,23,Otros profesionales de la enseñanza,2321,Especialistas en métodos didácticos y pedagógicos,,,6444,5916,2754,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2321-Especialistas-en-m-todos-did-cticos-y-pedag-gicos~.html
4d,23,Otros profesionales de la enseñanza,2322,Profesores de enseñanza no reglada de idiomas,,,26151,9407,4396,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2322-Profesores-de-ense-anza-no-reglada-de-idiomas~.html
4d,23,Otros profesionales de la enseñanza,2323,Profesores de enseñanza no reglada de música y danza,,,15498,3096,1274,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2323-Profesores-de-ense-anza-no-reglada-de-m-sica-y-danza~.html
4d,23,Otros profesionales de la enseñanza,2324,Profesores de enseñanza no reglada de artes,,,2525,977,531,3,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2324-Profesores-de-ense-anza-no-reglada-de-artes~.html
4d,23,Otros profesionales de la enseñanza,2325,Instructores en tecnologías de la información en enseñanza no reglada,,,1714,74,41,7,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2325-Instructores-en-tecnolog-as-de-la-informaci-n-en-ense-anza-no-reglada~.html
4d,23,Otros profesionales de la enseñanza,2326,Profesionales de la educación ambiental,,,3097,457,221,5,8,https://www.sepe.es/HomeSepe/que-es-observatorio/informacion-mt-por-ocupacion/informacion-mercado-trabajo-por-ocupacion-anual~_anuales_2025_2326-Profesionales-de-la-educaci-n-ambiental~.html
